pcode,pname,tname,acode,aname,tcode,mcode,mname,oct_side15_lat,oct_side15_lon,oct_side15_distance,oct_side15_road,oct_side15_road_name,oct_side15_road_num,oct_side15_road_distance,oct_side15_road_name2,oct_side15_road_num2,oct_side15_wmen,oct_side15_men,oct_side15_total,oct_side15_house,oct_side15_leader,oct_side15_leader_cause,oct_side15_local,oct_side15_local_name,oct_side15_local2,oct_side15_local2_name,oct_side15_local3,oct_side15_local3_name,oct_side15_local4,oct_side15_local4_name,oct_side15_local5,oct_side15_local5_name,oct_side15_river,oct_side15_river_name,oct_side15_sea,oct_side15_sea_name,oct_side15_lagoon,oct_side15_lagoon_name,oct_side15_mangrove,oct_side15_mangrove_name,oct_side15_mangrove_area,oct_side15_swamp,oct_side15_swamp_name,oct_side15_swamp_area,oct_side15_island,oct_side15_island_name,oct_side15_foth,oct_side15_foth_name,oct_side15_mountain,oct_side15_mountain_name,oct_side15_mountain_sea_leval,oct_side15_border,oct_side15_border_name1,oct_side15_border_distance1,oct_side15_border_name2,oct_side15_border_distance2,oct_side15_mm_type1,oct_side15_mm_type2,oct_side15_mm_type2_name,oct_side15_mm_type3,oct_side15_mm_type3_name,oct_side15_power,oct_side15_power_name,oct_side15_highvoltage,oct_side15_dam,oct_side15_dam_name,oct_side15_reservoir,oct_side15_reservoir_name,oct_side15_weir,oct_side15_weir_name,oct_side15_housing,oct_side15_housing_total,oct_side15_condos,oct_side15_condos_total
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040306,ฮั่ว,17.70859883,98.97937194,12,1,ทางหลวงชนบท,ลพ. 3048,,,,214,221,435,156,1,,1,องค์การบริหารส่วนตำบลนาทราย,0,,0,,0,,0,,1,ห้วยแม่แต๊ะ,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,อ่างเก็บน้ำห้วยคำ,1,ฝายบ้านฮั่ว,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040307,แม่หว่างลุ่ม,17.68215144,99.00872201,19,1,ทางหลวงชนบท,ลพ.3048,,,,103,85,188,65,1,,1,นาทราย,0,,0,,0,,0,,1,แม่น้ำแม่แต๊ะ,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,0,,1,ฝายมะโอ  ฝายนาทราย ฝายหลวง,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040308,พระบาทห้วยต้ม,17.7267405,98.95402506,10,1,ทางหลวงชนบล,ลพ.3017,,,,544,700,1244,285,1,,1,องค์การบริหารส่วนตำบลนาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,1.อ่างเก็บน้ำแม่ปุ,0,,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040309,หนองปู,17.73009244,98.94959405,9,1,ทางหลวงแผ่นดิน,ลพ.3017,,,,625,657,1282,332,1,,1,องค์การบริหารส่วนตำบลนาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,อ่างเก็บน้ำแม่ปู,0,,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040310,แม่หว่างห้วยรินเสรีธรรม,17.68634751,99.01539937,21,0,,,0.3,ทางหลวงชนบท,ลพ3048,181,197,378,138,1,,1,นาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,อ่างเก็บน้ำบ้านห้วยริน,1,ฝายห้วยตุ๊กิ๊  ฝายผาแดง,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040311,หนองบอน,17.73312625,98.95923391,8,0,,,0.2,ทางหลวงชนบท,ลพ.3017,518,455,973,241,1,,1,นาทราย,0,,0,,0,,0,,1,ห้วยแม่แต๊ะ,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,หนองบอล1 หนองบอล2,0,,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040312,เด่นยางมูล,17.7306264,98.95820528,8.6,0,,,0.2,ทางหลวงชนบท,ลพ. 3017,404,380,784,186,1,,1,นาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,0,,0,,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040313,หนองนา,17.7338518,98.95405188,8.7,0,,,0.3,ทางหลวงชนบท,ลพ. 3017,400,430,830,200,1,,1,นาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,0,,0,,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040314,เด่นทรายมูล,17.73451221,98.95449042,0.8,0,,,0.8,ทางหลวงชนบท,3017,780,793,1573,378,1,,1,องค์การบริหารส่วนตำบลนาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,0,,0,,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040315,ผาลาดเหนือ,17.69321765,98.94467756,15,1,ทางหลวงชนบท,ลพ. 5024,,,,593,592,1185,342,1,,1,องค์การบริหารส่วนตำบลนาทราย,0,,0,,0,,0,,1,ห้วยแม่หละ,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,อ่างเก็บน้ำห้วยหละ,1,1. ฝายห้วยแม่หละ 2. ฝายห้วยแม่ฮู 3. ฝายห้วยดอกสะแหล้ง 4. ฝายห้วยแม่หละใต้ 5. ฝายห้วยหยวกเหนือ 6. ฝายห้วยหยวกกลาง 7. ฝายห้วยหยวกใต้,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040316,นามน,17.71582455,98.9727737,11,1,ทางหลวงชนบท,ลพ. 3048,,,,297,296,593,207,1,,1,องค์การบริหารส่วนตำบลนาทราย,0,,0,,0,,0,,1,ห้วยแม่แต๊ะ,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,อ่างเก็บน้ำห้วยนาเลี่ยง,1,ฝายนาเลี่ยง,0,,0,
